timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1524434585.167208,-0.015189,0.168960,2.060673,0.003794,0.076046,-0.047724,-0.014972,-0.168158,-0.985646,0.007373,-0.018717,0.035619,18.895920,-20.757423,-48.311646,,,,,,,
1524434585.187227,-0.014099,0.169566,2.059512,0.047640,0.032474,-0.060219,-0.013896,-0.168755,-0.985560,0.031383,0.009972,0.029429,19.521896,-21.182301,-48.364014,,,,,,,
1524434585.207247,-0.013239,0.170772,2.059108,0.065162,0.046370,0.011312,-0.013046,-0.169943,-0.985367,-0.033218,0.003943,0.012146,19.980453,-20.855381,-49.020752,,,,,,,
1524434585.227266,-0.012516,0.172255,2.059961,0.080858,0.044292,0.046591,-0.012330,-0.171404,-0.985123,-0.000991,-0.029722,0.024003,20.634384,-21.502102,-50.031616,,,,,,,
1524434585.247286,-0.012256,0.173701,2.060845,0.058472,0.011347,0.038980,-0.012072,-0.172829,-0.984878,0.025087,-0.040428,0.002334,21.154251,-22.141846,-50.525146,,,,,,,
1524434585.267305,-0.011875,0.174097,2.061217,0.000033,0.035749,0.009807,-0.011695,-0.173219,-0.984814,-0.005151,-0.023604,-0.005161,20.515350,-23.049557,-50.900269,,,,,,,
1524434585.287325,-0.010606,0.173771,2.061688,-0.018285,0.078270,0.033133,-0.010446,-0.172898,-0.984884,-0.047033,-0.024170,0.017187,19.255112,-23.796913,-51.031738,,,,,,,
1524434585.307349,-0.009552,0.173634,2.061931,-0.002956,0.038905,-0.013662,-0.009409,-0.172763,-0.984918,0.031915,0.001788,0.009393,17.601379,-22.247543,-49.704895,,,,,,,
1524434585.327399,-0.008595,0.173731,2.061176,0.007990,0.049493,-0.042367,-0.008465,-0.172859,-0.984910,0.002362,0.027641,0.031144,18.366379,-21.080181,-48.573486,,,,,,,
1524434585.347419,-0.007202,0.174259,2.060597,0.038785,0.073956,-0.020843,-0.007093,-0.173378,-0.984830,-0.022067,0.012077,0.022763,19.114471,-20.481590,-47.645935,,,,,,,
1524434585.367439,-0.005999,0.175197,2.060152,0.046349,0.049505,-0.033582,-0.005907,-0.174302,-0.984674,0.030443,0.011735,0.003626,19.656860,-21.181198,-47.866211,,,,,,,
